Date,Song 1,Song 2,Song 3
1/7/24,Book of Mormon Stories v1,The Iron Rod v1,Books in the  Book of Mormon
1/14/24,Book of Mormon Stories v1,The Iron Rod v1,Nephi's Courage
1/21/24,Book of Mormon Stories v1,The Iron Rod v1,Nephi's Courage
1/28/24,Book of Mormon Stories v8,The Iron Rod v1,Nephi's Courage
2/4/24,Gethsemane Bridge,Gethsemane Chorus,Book of Mormon Stories v8
2/11/24,Gethsemane Bridge,Gethsemane Chorus,Book of Mormon Stories v8
2/18/24,Gethsemane v1,Home Can Be a Heaven on Earth v1,Book of Mormon Stories v8
2/25/24,Gethsemane v1,Home Can Be a Heaven on Earth v1,Book of Mormon Stories v8
3/3/24,Gethsemane v1,We'll Bring the World His Truth Chorus,Home Can Be a Heaven on Earth v1
3/10/24,Gethsemane v2,We'll Bring the World His Truth Chorus,Home Can Be a Heaven on Earth v1
3/17/24,Gethsemane v2,We'll Bring the World His Truth Chorus,Home Can Be a Heaven on Earth v1
3/24/24,Gethsemane v2,Gethsemane All,Home Can Be a Heaven on Earth v1
3/31/24,Home Can Be a Heaven on Earth,,We'll Bring the World his Truth Chorus
4/7/24,,,
4/14/24,Book of Mormon Stories v3,We'll Bring the World his Truth v1,Home Can Be A Heaven on Earth
4/21/24,Book of Mormon Stories v3,We'll Bring the World his Truth v1,Liahona Chorus
4/28/24,Book of Mormon Stories v3,We'll Bring the World his Truth v1,Liahona Chorus
5/5/24,Book of Mormon Stories v3,We'll Bring the World his Truth v1,Home Can Be a Heaven on Earth
5/12/24,Liahona v1,Liahona Chorus,We'll Bring the World his Truth v2
5/19/24,Liahona v1,"Search, Ponder, and Pray v1",We'll Bring the World his Truth v2
5/26/24,Liahona v1,"Search, Ponder, and Pray v1",We'll Bring the World his Truth v2
6/2/24,,,
6/9/24,Liahona v1,"Search, Ponder, and Pray v1",We'll Bring the World his Truth v2
6/16/24,Liahona v2,"Search, Ponder, and Pray v1","Search, Ponder, and Pray v2"
6/23/24,Liahona v2,BOM Stories v5,"Search, Ponder, and Pray v2"
6/30/24,Liahona v2,BOM Stories v5,"Search, Ponder, and Pray v2"
7/7/24,Liahona v2,BOM Stories v5,"Search, Ponder, and Pray v2"
7/14/24,Liahona v3,BOM Stories v5,Liahona v1 review
7/21/24,Liahona v3,We'll Bring the World his Truth v3,BOM Stories v3
7/28/24,Liahona v3,We'll Bring the World his Truth v3,Liahona v2 review
8/4/24,Liahona v3,We'll Bring the World His Truth v3,BOM Stories v 8 review
8/11/24,Liahona All,We'll Bring the World His Truth v3,BOM Stories v7
8/18/24,We'll Bring the World His Truth All,BOM Stories v7,Faith V1
8/25/24,Search Ponder and Pray All,BOM Stories v7,Faith v1
9/1/24,Liahona All,BOM Stories v7,Faith v1
9/8/24,Book of Mormon Stories All,BOM Stories v7,Faith v1